agent,tier,confidence,rationale_text
Glyphosate,UNC,medium,"You may have been exposed to a widely used herbicide; international health authorities differ on its cancer risk classification, and evidence is still debated. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
Heat at work,PHYS,high,"You may have been exposed to working in hot conditions, a recognised cause of heat stress and related illness, with risk depending on duration and intensity. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Ionizing radiation,EST,high,"You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Isocyanates,BIO,high,"You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Reactions to this kind of exposure vary between people, and some people develop sensitivity after repeated contact."
Lead,EST,high,"You may have been exposed to a metal used in some manufacturing, a recognised cause of serious effects on the nervous system, kidneys and reproductive health. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Leather dust,EST,medium,"You may have been exposed to dust from leather processing, linked to an increased risk of nasal cancer in some studies. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Light at night,PHYS,medium,"You may have been exposed to exposure to light during normal sleeping hours, such as from night shift work, associated with circadian disruption; international health authorities classify shift work involving this as a probable carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Mercury,EST,high,"You may have been exposed to a metal used in some industrial processes, a recognised cause of serious nervous system effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Methyl bromide,EST,medium,"You may have been exposed to a fumigant gas, capable of serious acute toxicity and nervous system effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Methylene chloride,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a probable human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Mineral Oils,UNC,medium,"You may have been exposed to petroleum-based oils used in manufacturing; historically linked to skin cancer with prolonged untreated exposure, though modern refined oils carry lower risk and evidence varies by oil type. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
MOCA,EST,medium,"You may have been exposed to a chemical used in some polyurethane manufacturing, classified as a probable human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
n-hexane,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Nickel,EST,high,"You may have been exposed to a metal used in some manufacturing such as plating or welding, with some compounds classified as known human carcinogens. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Nitrosamines,EST,medium,"You may have been exposed to chemicals that can form in some industrial processes, classified as probable human carcinogens. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
noise2,PHYS,high,"You may have been exposed to occupational noise exposure, a recognised cause of hearing damage that depends on volume and duration. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Ocular UV AU,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Ocular UV EU,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Organophosphates,ACUTE,high,"You may have been exposed to a class of pesticides, capable of serious acute nervous system effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This substance can cause serious short-term effects at high concentrations."
Ortho-toluidine,EST,medium,"You may have been exposed to a chemical used in some dye and rubber manufacturing, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Other PAHs,EST,high,"You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
p-xylene,UNC,high,"You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
Phase shift,PHYS,medium,"You may have been exposed to circadian disruption from shift work involving changing shift times, classified by international health authorities as a probable carcinogen, alongside other health effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Phenoxy Herbicides,UNC,medium,"You may have been exposed to a class of herbicides; evidence on cancer risk is debated and varies by specific compound. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
Shiftwork,PHYS,medium,"You may have been exposed to working outside standard daytime hours, associated with circadian disruption; international health authorities classify shift work as a probable carcinogen, alongside other health effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Silica,EST,high,"You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Sleep disturbances,PHYS,medium,"You may have been exposed to disrupted sleep patterns, often linked to shift work, associated with a range of health effects. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of exposure generally depend on how intense it is and how long it lasts."
Solar UV AU,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Styrene,EST,medium,"You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Tetrachloroethylene (PERC),EST,medium,"You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Toluene,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Trichloroethylene,EST,high,"You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Welding fumes,EST,high,"You may have been exposed to fumes produced during welding, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Wood Dust,EST,high,"You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
